trait,umbrella,agreement,flag,claude,gpt5,gemini,deepseek,grok
preop imaging,Imaging Requirements,5/5,🟢,Imaging Requirements,Imaging Requirements,Imaging Requirements,Imaging Requirements,Imaging Requirements
preop radiotherapy,Prior Radiotherapy,4/5,🟢,Prior Radiotherapy,Adjuvant/Neoadjuvant Therapy,Prior Radiotherapy,Prior Radiotherapy,Prior Radiotherapy
prior adjuvant pd l1,Prior Immunotherapy/Checkpoint Inhibitors,4/5,🟢,Prior Immunotherapy/Checkpoint Inhibitors,Prior Immunotherapy/Checkpoint Inhibitors,Adjuvant/Neoadjuvant Therapy,Prior Immunotherapy/Checkpoint Inhibitors,Prior Immunotherapy/Checkpoint Inhibitors
prior brain mets,Brain/CNS Metastases,5/5,🟢,Brain/CNS Metastases,Brain/CNS Metastases,Brain/CNS Metastases,Brain/CNS Metastases,Brain/CNS Metastases
prior crt,Prior Chemoradiation,5/5,🟢,Prior Chemoradiation,Prior Chemoradiation,Prior Chemoradiation,Prior Chemoradiation,Prior Chemoradiation
prior definitive therapy,Prior Systemic Therapy,4/5,🟢,Prior Systemic Therapy,Prior Systemic Therapy,Prior Radiotherapy,Prior Systemic Therapy,Prior Systemic Therapy
prior immune related ae,Treatment-Related Toxicity,5/5,🟢,Treatment-Related Toxicity,Treatment-Related Toxicity,Treatment-Related Toxicity,Treatment-Related Toxicity,Treatment-Related Toxicity
prior immune therapy,Prior Immunotherapy/Checkpoint Inhibitors,5/5,🟢,Prior Immunotherapy/Checkpoint Inhibitors,Prior Immunotherapy/Checkpoint Inhibitors,Prior Immunotherapy/Checkpoint Inhibitors,Prior Immunotherapy/Checkpoint Inhibitors,Prior Immunotherapy/Checkpoint Inhibitors
prior induction therapy,Prior Systemic Therapy,3/5,🟡,Prior Systemic Therapy,Prior Systemic Therapy,Treatment Amenability,Prior Systemic Therapy,Adjuvant/Neoadjuvant Therapy
prior io agent,Prior Immunotherapy/Checkpoint Inhibitors,5/5,🟢,Prior Immunotherapy/Checkpoint Inhibitors,Prior Immunotherapy/Checkpoint Inhibitors,Prior Immunotherapy/Checkpoint Inhibitors,Prior Immunotherapy/Checkpoint Inhibitors,Prior Immunotherapy/Checkpoint Inhibitors
prior io rtki therapy,Prior Immunotherapy/Checkpoint Inhibitors,4/5,🟢,Prior Immunotherapy/Checkpoint Inhibitors,Prior Immunotherapy/Checkpoint Inhibitors,Prior Immunotherapy/Checkpoint Inhibitors,Prior Immunotherapy/Checkpoint Inhibitors,Prior Targeted Therapy
prior io therapy,Prior Immunotherapy/Checkpoint Inhibitors,5/5,🟢,Prior Immunotherapy/Checkpoint Inhibitors,Prior Immunotherapy/Checkpoint Inhibitors,Prior Immunotherapy/Checkpoint Inhibitors,Prior Immunotherapy/Checkpoint Inhibitors,Prior Immunotherapy/Checkpoint Inhibitors
prior kras g12c inhibitor,Prior Targeted Therapy,3/5,🟡,Prior Targeted Therapy,Specific Prior Treatment Agents,Prior Targeted Therapy,Prior Targeted Therapy,Specific Prior Treatment Agents
prior lung radiotherapy,Prior Radiotherapy,5/5,🟢,Prior Radiotherapy,Prior Radiotherapy,Prior Radiotherapy,Prior Radiotherapy,Prior Radiotherapy
prior mmae ib6 therapy,Specific Prior Treatment Agents,4/5,🟢,Specific Prior Treatment Agents,Specific Prior Treatment Agents,Specific Prior Treatment Agents,Prior Systemic Therapy,Specific Prior Treatment Agents
prior pd1 pdl1 therapy,Prior Immunotherapy/Checkpoint Inhibitors,5/5,🟢,Prior Immunotherapy/Checkpoint Inhibitors,Prior Immunotherapy/Checkpoint Inhibitors,Prior Immunotherapy/Checkpoint Inhibitors,Prior Immunotherapy/Checkpoint Inhibitors,Prior Immunotherapy/Checkpoint Inhibitors
prior pneumonitis,Interstitial Lung Disease/Pneumonitis,5/5,🟢,Interstitial Lung Disease/Pneumonitis,Interstitial Lung Disease/Pneumonitis,Interstitial Lung Disease/Pneumonitis,Interstitial Lung Disease/Pneumonitis,Interstitial Lung Disease/Pneumonitis
prior radiotherapy,Prior Radiotherapy,5/5,🟢,Prior Radiotherapy,Prior Radiotherapy,Prior Radiotherapy,Prior Radiotherapy,Prior Radiotherapy
prior topoisomerase adc,Specific Prior Treatment Agents,4/5,🟢,Specific Prior Treatment Agents,Specific Prior Treatment Agents,Specific Prior Treatment Agents,Prior Systemic Therapy,Specific Prior Treatment Agents
prior toxicity,Treatment-Related Toxicity,5/5,🟢,Treatment-Related Toxicity,Treatment-Related Toxicity,Treatment-Related Toxicity,Treatment-Related Toxicity,Treatment-Related Toxicity
prior transplant,Transplant History,5/5,🟢,Transplant History,Transplant History,Transplant History,Transplant History,Transplant History
prior transplantation,Transplant History,5/5,🟢,Transplant History,Transplant History,Transplant History,Transplant History,Transplant History
psychiatric condition,Neurological/Psychiatric Conditions,5/5,🟢,Neurological/Psychiatric Conditions,Neurological/Psychiatric Conditions,Neurological/Psychiatric Conditions,Neurological/Psychiatric Conditions,Neurological/Psychiatric Conditions
pulmonary compromise,Pulmonary Function,5/5,🟢,Pulmonary Function,Pulmonary Function,Pulmonary Function,Pulmonary Function,Pulmonary Function
pulmonary disease,Pulmonary Function,5/5,🟢,Pulmonary Function,Pulmonary Function,Pulmonary Function,Pulmonary Function,Pulmonary Function
qtcf interval,ECG Abnormalities,5/5,🟢,ECG Abnormalities,ECG Abnormalities,ECG Abnormalities,ECG Abnormalities,ECG Abnormalities
questionnaire completion,Study Compliance,5/5,🟢,Study Compliance,Study Compliance,Study Compliance,Study Compliance,Study Compliance
radiation technique,Prior Radiotherapy,5/5,🟢,Prior Radiotherapy,Prior Radiotherapy,Prior Radiotherapy,Prior Radiotherapy,Prior Radiotherapy
recent antitumor therapy,Prior Systemic Therapy,3/5,🟡,Washout Period,Recent Systemic Therapy,Prior Systemic Therapy,Prior Systemic Therapy,Prior Systemic Therapy
recent colony stimulating factor,Prior Systemic Therapy,3/5,🟡,Washout Period,Prior Systemic Therapy,Prior Systemic Therapy,Prior Systemic Therapy,Washout Period
recent mri brain,Imaging Requirements,5/5,🟢,Imaging Requirements,Imaging Requirements,Imaging Requirements,Imaging Requirements,Imaging Requirements
recent pet,Imaging Requirements,5/5,🟢,Imaging Requirements,Imaging Requirements,Imaging Requirements,Imaging Requirements,Imaging Requirements
recent steroids,Corticosteroid Use,4/5,🟢,Washout Period,Corticosteroid Use,Corticosteroid Use,Corticosteroid Use,Corticosteroid Use
recovery from prior therapy,Treatment-Related Toxicity,4/5,🟢,Treatment-Related Toxicity,Treatment-Related Toxicity,Treatment-Related Toxicity,Washout Period,Treatment-Related Toxicity
renal dysfunction,Renal Function,5/5,🟢,Renal Function,Renal Function,Renal Function,Renal Function,Renal Function
resection types,Surgical Resectability/Status,4/5,🟢,Surgical Resectability/Status,Surgical Resectability/Status,Prior Surgery,Surgical Resectability/Status,Surgical Resectability/Status
residual disease site,Residual Disease,5/5,🟢,Residual Disease,Residual Disease,Residual Disease,Residual Disease,Residual Disease
second malignancy,Prior/Concurrent Malignancy,5/5,🟢,Prior/Concurrent Malignancy,Prior/Concurrent Malignancy,Prior/Concurrent Malignancy,Prior/Concurrent Malignancy,Prior/Concurrent Malignancy
second screen imaging,Imaging Requirements,5/5,🟢,Imaging Requirements,Imaging Requirements,Imaging Requirements,Imaging Requirements,Imaging Requirements
sequential crt,Prior Chemoradiation,4/5,🟢,Prior Chemoradiation,Treatment Timing,Prior Chemoradiation,Prior Chemoradiation,Prior Chemoradiation
small cell sarcomatoid,Tumor Histology,5/5,🟢,Tumor Histology,Tumor Histology,Tumor Histology,Tumor Histology,Tumor Histology
stable brain mets,Brain/CNS Metastases,5/5,🟢,Brain/CNS Metastases,Brain/CNS Metastases,Brain/CNS Metastases,Brain/CNS Metastases,Brain/CNS Metastases
surgical resection,Surgical Resectability/Status,3/5,🟡,Prior Surgery,Prior Surgery,Surgical Resectability/Status,Surgical Resectability/Status,Surgical Resectability/Status
surveillance consent,Informed Consent,4/5,🟢,Informed Consent,Informed Consent,Study Compliance,Informed Consent,Informed Consent
surveillance start timing,Treatment Timing,5/5,🟢,Treatment Timing,Treatment Timing,Treatment Timing,Treatment Timing,Treatment Timing
swallowing ability,Gastrointestinal Function,5/5,🟢,Gastrointestinal Function,Gastrointestinal Function,Gastrointestinal Function,Gastrointestinal Function,Gastrointestinal Function
synchronous tumors,Prior/Concurrent Malignancy,3/5,🟡,Prior/Concurrent Malignancy,Primary Tumor Characteristics,Prior/Concurrent Malignancy,Prior/Concurrent Malignancy,Primary Tumor Characteristics
systemic therapy timing,Treatment Timing,5/5,🟢,Treatment Timing,Treatment Timing,Treatment Timing,Treatment Timing,Treatment Timing
third space fluid retention,Pleural/Pericardial Effusion,5/5,🟢,Pleural/Pericardial Effusion,Pleural/Pericardial Effusion,Pleural/Pericardial Effusion,Pleural/Pericardial Effusion,Pleural/Pericardial Effusion
tissue provision,Tumor Tissue/Biospecimen,5/5,🟢,Tumor Tissue/Biospecimen,Tumor Tissue/Biospecimen,Tumor Tissue/Biospecimen,Tumor Tissue/Biospecimen,Tumor Tissue/Biospecimen
treatment start,Treatment Timing,4/5,🟢,Treatment Timing,Treatment Timing,Treatment Amenability,Treatment Timing,Treatment Timing
tumor biopsy,Tumor Tissue/Biospecimen,5/5,🟢,Tumor Tissue/Biospecimen,Tumor Tissue/Biospecimen,Tumor Tissue/Biospecimen,Tumor Tissue/Biospecimen,Tumor Tissue/Biospecimen
tumor cavitation vessel invasion,Primary Tumor Characteristics,5/5,🟢,Primary Tumor Characteristics,Primary Tumor Characteristics,Primary Tumor Characteristics,Primary Tumor Characteristics,Primary Tumor Characteristics
tumor size number,Primary Tumor Characteristics,5/5,🟢,Primary Tumor Characteristics,Primary Tumor Characteristics,Primary Tumor Characteristics,Primary Tumor Characteristics,Primary Tumor Characteristics
tumor specimen,Tumor Tissue/Biospecimen,5/5,🟢,Tumor Tissue/Biospecimen,Tumor Tissue/Biospecimen,Tumor Tissue/Biospecimen,Tumor Tissue/Biospecimen,Tumor Tissue/Biospecimen
unapproved surgical procedures,Prior Surgery,5/5,🟢,Prior Surgery,Prior Surgery,Prior Surgery,Prior Surgery,Prior Surgery
unresectable nsclc,Surgical Resectability/Status,4/5,🟢,Surgical Resectability/Status,Surgical Resectability/Status,Advanced/Refractory Disease,Surgical Resectability/Status,Surgical Resectability/Status
unresectable status,Surgical Resectability/Status,4/5,🟢,Surgical Resectability/Status,Surgical Resectability/Status,Advanced/Refractory Disease,Surgical Resectability/Status,Surgical Resectability/Status
washout period,Washout Period,5/5,🟢,Washout Period,Washout Period,Washout Period,Washout Period,Washout Period
who ps,Performance Status,5/5,🟢,Performance Status,Performance Status,Performance Status,Performance Status,Performance Status
